"Upstream of 5'SS"	5'SS	"downstream of 5'SS"	"Upstream of 3'SS"	3'SS	"Downstream of 3'SS"
12.5	11	7.0	3.0	9	9.0
17.5	7	8.5	17.0	12	10.5
3.0	0	2.5	13.0	5	22.5
5.0	2	3.5	1.5	5	3.5
9.0	12	0.5	4.5	14	10.5
8.5	4	3.5	4.0	7	9.5
14.5	6	13.5	59.5	12	3.5
9.0	26	18.5	16.0	13	16.0
8.0	3	2.0	1.0	0	4.5
18.0	26	9.5	12.5	6	14.5
19.5	5	4.5	11.5	14	28.0
14.5	14	3.5	24.5	5	17.0
15.5	20	15.5	6.0	20	18.5
26.0	5	8.0	8.5	18	13.0
5.0	15	17.0	12.0	20	25.5
10.5	27	22.0	30.5	14	26.5
53.5	18	29.5	35.0	8	27.5
21.0	15	20.0	19.0	6	13.5
14.0	11	20.5	19.5	14	20.0
16.0	35	21.0	21.0	15	10.5
31.0	14	13.5	55.0	25	28.5
13.0	31	16.0	44.5	44	13.0
17.0	12	17.0	11.5	16	21.0
26.0	15	13.5	11.0	8	12.0
16.0	50	22.0	36.5	9	22.0
15.5	12	9.0	6.0	24	36.5
9.0	8	16.5	13.0	13	13.0
16.5	18	14.0	25.0	8	13.5
12.5	2	14.5	15.5	0	8.5
39.0	34	328.5	149.0	148	151.0
123.0	107	212.5	315.0	180	63.0
7.0	15	8.0	10.0	2	12.0
12.5	12	2.5	3.5	1	10.0
19.5	33	12.0	13.0	12	20.0
26.0	32	23.5	19.5	25	58.5
74.5	28	11.0	11.0	5	79.0
82.5	77	52.5	91.0	56	26.5
51.0	35	20.0	32.5	10	37.0
24.0	77	61.5	78.5	65	93.0
108.0	68	34.0	55.5	29	42.0
48.5	38	13.5	3.0	36	20.0
25.5	7	8.5	17.0	6	9.0
6.5	12	16.0	10.5	33	18.5
44.0	14	10.0	17.5	37	19.5
26.0	25	6.5	5.0	4	35.0
11.5	35	26.5	27.5	12	72.5
61.5	86	60.0	12.0	7	30.5
23.5	33	8.5	18.5	3	13.5
10.0	16	9.5	10.0	9	8.5
5.0	12	9.5	12.5	5	9.0
21.0	40	34.5	28.0	21	21.0
17.5	16	31.5	13.0	36	32.0
25.0	31	14.0	7.5	7	7.0
6.5	6	13.5	13.5	4	14.0
15.5	13	8.5	5.0	9	13.5
13.0	11	28.5	16.5	8	13.0
12.0	36	31.0	13.0	2	25.5
13.5	27	8.0	52.0	23	20.5
32.5	50	15.0	39.0	15	29.5
42.0	32	24.5	27.0	14	26.5
16.0	4	25.5	20.5	31	16.5
29.5	21	7.0	9.0	13	13.0
14.0	10	6.0	14.0	8	17.0
14.0	17	10.0	10.0	10	9.5
13.0	8	6.5	8.5	1	4.0
0.5	3	0.5	9.5	7	9.5
0.5	9	4.5	1.5	1	2.5
4.0	4	2.0	3.5	0	4.5
1.5	5	1.0	2.0	5	3.0
1.0	4	1.0	2.5	1	1.5
2.0	0	2.0	0.0	2	2.0
4.0	8	3.0	0.5	1	2.0
0.5	6	0.5	3.0	1	5.5
4.0	3	0.5	2.5	0	3.5
26.0	38	7.5	37.5	4	13.5
8.5	22	16.0	30.0	18	45.5
3.5	11	22.5	27.0	7	23.0
20.0	9	16.0	7.5	1	8.0
11.0	29	7.5	25.0	8	6.5
29.5	22	24.0	19.0	26	33.0
11.5	26	18.5	24.5	24	20.0
31.0	24	19.0	26.5	23	44.0
18.0	15	4.5	13.5	1	17.0
7.0	7	17.0	29.0	22	32.0
20.0	31	35.0	11.0	31	12.5
19.5	5	19.5	19.0	17	17.5
15.5	21	34.5	38.5	33	44.5
38.0	63	13.5	36.5	30	31.5
44.0	29	35.0	42.0	50	31.0
46.0	53	34.5	23.5	9	22.5
22.5	57	8.0	18.5	24	28.5
17.5	40	47.5	29.0	8	8.5
16.0	40	20.0	28.0	13	19.0
13.5	27	26.0	21.5	21	34.5
35.5	6	21.0	12.5	18	20.5
110.0	119	37.0	102.5	25	62.0
86.0	61	50.0	54.0	125	108.5
35.0	14	6.0	22.5	2	8.5
29.5	27	21.0	13.0	9	7.0
21.5	27	9.5	6.5	18	18.5
1.0	0	4.5	1.0	0	3.0
14.0	4	6.5	5.5	7	3.0
2.5	1	5.0	5.5	11	5.5
1.5	5	3.0	16.0	6	2.5
23.5	24	18.0	31.0	23	8.0
23.5	33	29.5	6.5	18	28.5
16.0	12	0.0	42.0	12	33.0
63.5	35	32.0	11.0	6	35.5
54.5	13	27.5	6.5	28	13.5
38.0	16	4.5	5.5	3	6.0
2.0	11	15.0	16.5	17	12.5
24.0	21	5.5	7.5	5	21.0
7.5	31	7.0	15.5	6	27.5
14.0	36	5.5	14.5	10	2.5
10.5	5	2.5	2.0	3	12.5
10.5	0	7.0	10.0	7	11.0
18.5	12	18.0	7.5	1	9.0
29.0	10	7.5	5.5	10	21.5
13.0	11	13.5	4.5	6	23.5
11.0	5	4.0	5.5	12	16.0
11.5	4	15.0	2.0	2	7.0
8.0	7	10.0	7.0	5	6.5
11.0	15	3.5	3.5	11	9.5
10.0	24	10.5	10.5	18	31.5
11.5	4	2.0	4.0	0	0.0
29.0	29	10.5	10.5	6	21.5
2.0	3	11.0	17.5	48	12.5
24.0	28	19.5	1.0	1	6.0
17.5	16	13.0	10.0	5	23.5
4.5	9	3.0	22.0	14	18.0
14.5	10	4.0	6.0	2	3.0
3.0	11	3.0	6.5	18	7.5
1.0	0	7.0	2.5	6	4.5
1.5	1	2.0	10.0	10	13.5
9.5	16	6.0	3.5	2	2.0
11.5	12	14.5	20.0	2	20.0
12.0	30	8.0	20.0	7	13.5
10.0	11	9.5	19.0	12	20.5
19.5	43	12.0	14.0	19	16.5
21.5	19	8.0	16.5	6	22.0
10.5	26	21.0	15.5	15	7.0
2.0	2	0.0	4.0	7	5.0
6.5	6	5.5	6.5	11	3.0
3.5	3	2.0	13.0	11	7.5
10.0	5	13.5	2.0	0	5.5
1.5	5	2.5	5.0	4	8.0
3.5	5	2.0	3.0	1	4.5
5.0	2	0.5	11.5	3	4.0
7.0	9	2.0	4.0	6	2.5
2.0	0	4.0	2.5	9	7.5
12.0	52	10.5	11.0	17	19.0
15.5	14	54.5	26.5	60	37.0
8.0	16	5.0	4.0	5	14.5
29.5	29	9.5	18.5	11	8.5
10.5	18	8.5	9.0	6	22.0
10.0	33	14.5	4.5	0	10.5
24.5	25	12.5	23.5	21	9.0
21.0	35	17.5	21.0	11	39.5
4.5	3	4.5	6.5	7	3.5
4.5	13	5.0	5.5	4	7.0
10.5	8	4.5	7.0	5	3.5
5.0	5	2.0	4.0	0	4.0
4.0	2	7.0	5.0	0	2.5
4.5	10	3.0	9.5	2	5.0
1.0	7	5.5	5.5	5	4.0
4.5	11	4.5	6.0	1	6.5
16.0	18	14.5	18.0	20	18.0
14.5	29	10.0	19.0	8	8.5
2.5	7	0.0	2.0	1	8.0
8.5	7	4.0	1.0	7	6.0
91.0	38	63.5	52.0	37	28.5
39.0	53	100.0	100.5	40	54.5
129.5	128	26.5	41.5	40	125.5
9.0	17	6.0	20.5	9	4.5
8.5	5	10.0	10.0	4	10.0
7.0	0	8.5	7.5	14	5.5
2.0	14	6.5	8.0	18	3.5
9.5	7	14.5	9.5	1	7.5
1.0	10	5.0	13.5	2	5.0
4.0	13	2.0	16.5	0	14.5
3.0	11	3.5	6.5	1	9.0
3.5	13	7.5	9.5	2	7.5
2.5	13	7.5	7.5	6	2.0
13.0	4	6.0	13.5	8	18.5
3.5	13	2.5	2.5	2	7.5
15.0	4	2.0	0.5	5	18.0
18.0	7	6.5	8.5	12	9.0
23.0	21	2.0	11.5	7	20.5
19.5	19	4.0	3.0	10	11.5
9.5	12	2.0	14.5	8	11.0
8.0	12	4.0	7.0	17	11.5
15.0	14	9.5	21.0	48	51.5
42.0	52	40.5	33.5	25	17.5
28.5	29	8.0	22.5	15	19.0
3.0	37	9.5	8.0	4	11.5
19.5	14	16.0	11.5	4	7.0
2.0	1	11.5	13.5	5	2.0
8.5	2	2.5	8.0	1	9.0
35.0	28	7.0	15.0	12	17.5
15.5	9	15.5	19.5	25	12.0
20.0	16	4.0	7.5	5	8.5
6.0	5	20.0	17.0	4	8.5
11.5	10	8.0	1.5	1	11.5
0.5	3	0.5	6.0	2	2.0
19.5	41	6.0	15.0	10	11.5
11.5	9	8.5	15.0	22	11.0
11.5	29	16.0	17.0	14	12.0
15.5	15	10.0	18.5	16	21.0
16.5	7	10.0	9.0	21	20.5
15.0	25	12.0	11.0	16	9.0
11.5	17	14.5	12.5	14	25.5
13.0	21	16.5	12.5	11	15.0
9.5	21	11.5	16.0	9	19.0
3.5	15	24.5	15.0	2	13.5
83.0	30	9.5	8.0	1	12.0
14.5	11	4.5	5.5	8	6.5
13.0	7	16.0	16.5	13	11.0
20.0	6	15.5	6.0	3	11.0
29.0	13	17.0	13.5	4	21.5
10.0	14	14.5	21.5	12	11.0
24.0	20	8.0	15.5	15	14.0
22.0	18	7.5	12.5	7	6.5
7.0	16	14.0	21.5	10	7.5
12.0	6	4.0	10.0	34	21.0
98.5	199	25.5	24.0	31	72.5
57.5	83	65.0	74.0	96	45.0
45.5	79	25.5	71.5	30	23.0
177.5	152	133.0	128.5	113	311.5
169.0	70	128.5	170.0	164	105.5
105.0	73	73.0	64.0	228	53.5
163.0	209	109.0	176.5	94	74.0
333.0	456	244.5	297.0	254	166.5
465.0	257	107.5	341.0	333	352.5
1.5	9	7.5	4.5	4	10.5
5.0	8	1.5	7.0	3	4.5
119.0	95	62.0	130.5	65	76.5
94.0	84	67.0	56.0	55	22.0
17.5	12	6.0	20.5	22	16.5
