Gene.ID	Intron_Counts	Intron_Length	Intron_Counts_Norm	Exon_Only_Counts	Exon_Length	Exon_Only_Counts_Norm	Intron_Div_Flanking_Exons	ENSUMG	txid	intron_num	Chromosome	Gene.Start	Gene.End	Gene_Length	Strand	FiveSS	ThreeSS	Intron_Size	Uninduced_spliced	Uninduced_unspliced	Induced_spliced	Induced_unspliced	Unind_splice_eff	Induc_splice_eff	Log2_FC.DMSO.splice.eff..Untreated.splice.eff.	LRS_Counts_Unind	LRS_Counts_Induced	Untreated_Int_Count	Untreated_NIC	NIC.0_Yes.1	Intron_within_750nt_TSS_Yes.1
ENSMUST00000000137.7_intron_2_0_chr11_20077334_r	14217.7002	2691	5283.42631	583390.3101	294	1984320.783	0.002662587	ENSMUSG00000020152	ENSMUST00000000137.7	5	chr11	20112913	20062303	50610	minus	20080023	20077332	2691	10	0	10	0	1	1	0	10	10	0	0	1	0
ENSMUST00000000137.7_intron_3_0_chr11_20080173_r	7192.49	491	14648.6558	584840.33	285	2052071.333	0.007138473	ENSMUSG00000020152	ENSMUST00000000137.7	4	chr11	20112913	20062303	50610	minus	20080662	20080171	491	14	0	13	0	1	1	0	14	13	1	0.066666667	0	0
ENSMUST00000000137.7_intron_5_0_chr11_20091368_r	8231.4132	2864	2874.096788	485696.3001	287	1692321.603	0.001698316	ENSMUSG00000020152	ENSMUST00000000137.7	2	chr11	20112913	20062303	50610	minus	20094230	20091366	2864	14	0	16	0	1	1	0	14	16	2	0.125	0	0
ENSMUST00000000137.7_intron_6_0_chr11_20094446_r	11988.33	6379	1879.343157	599360.37	325	1844185.754	0.001019064	ENSMUSG00000020152	ENSMUST00000000137.7	1	chr11	20112913	20062303	50610	minus	20100823	20094444	6379	24	0	24	0	1	1	0	24	24	0	0	1	0
ENSMUST00000000175.5_intron_0_0_chr9_50597251_r	14805.99	1512	9792.321429	1944767.211	1037	1875378.217	0.005221518	ENSMUSG00000000171	ENSMUST00000000175.5	2	chr9	50603812	50596356	7456	minus	50598761	50597249	1512	10	2	3	0	0.833333333	NA	NA	12	3	0	0	1	0
ENSMUST00000000175.5_intron_1_0_chr9_50598906_r	15714.67	1644	9558.801703	869960.92	260	3346003.538	0.002856782	ENSMUSG00000000171	ENSMUST00000000175.5	1	chr9	50603812	50596356	7456	minus	50600548	50598904	1644	16	2	4	1	0.888888889	0.8	-0.152003094	18	5	0	0	1	0
ENSMUST00000000356.9_intron_1_0_chr15_100617032_f	3990.49003	895	4458.648078	392307.44	363	1080736.749	0.004125563	ENSMUSG00000000346	ENSMUST00000000356.9	1	chr15	100615348	100620761	5413	plus	100617030	100617925	895	51	0	13	0	1	1	0	51	13	1	0.019230769	0	0
ENSMUST00000000356.9_intron_2_0_chr15_100618171_f	5291.875	1199	4413.573812	1261658.87	1638	770243.5104	0.005730102	ENSMUSG00000000346	ENSMUST00000000356.9	2	chr15	100615348	100620761	5413	plus	100618169	100619368	1199	40	0	6	0	1	1	0	40	6	2	0.047619048	0	0
ENSMUST00000000430.13_intron_6_0_chr18_24267699_f	1135	1751	648.201028	81866.31	287	285248.4669	0.002272408	ENSMUSG00000000420	ENSMUST00000000430.13	6	chr18	24205343	24286818	81475	plus	24267697	24269448	1751	10	1	8	0	0.909090909	1	0.137503524	11	8	0	0	1	0
ENSMUST00000000466.12_intron_0_0_chr4_86657405_r	2691.403	1178	2284.722411	354188.357	973	364016.8109	0.00627642	ENSMUSG00000028494	ENSMUST00000000466.12	6	chr4	86670060	86656564	13496	minus	86658581	86657403	1178	12	0	2	0	1	NA	NA	12	2	1	0.076923077	0	0
