chr	start	end	txname	score	strand	geneid	type
chr1	195131561	195131561	ENSMUST00000075451.11	4056	-	ENSMUSG00000016481.15	protein_coding
chr1	195131344	195131344	ENSMUST00000193094.5	2352	-	ENSMUSG00000016481.15	protein_coding
chr1	195131323	195131323	ENSMUST00000194111.5	2250	-	ENSMUSG00000016481.15	protein_coding
chr1	195092249	195092249	ENSMUST00000162650.7	2455	-	ENSMUSG00000016493.13	protein_coding
chr1	193201547	193201547	ENSMUST00000043550.10	354	-	ENSMUSG00000037318.10	protein_coding
chr1	193201502	193201502	ENSMUST00000161151.2	357	-	ENSMUSG00000037318.10	processed_transcript
chr1	193130272	193130272	ENSMUST00000085555.6	480	-	ENSMUSG00000016181.9	protein_coding
chr1	193035775	193035775	ENSMUST00000195354.5	727	-	ENSMUSG00000016200.14	protein_coding
chr1	193035717	193035717	ENSMUST00000016344.8	989	-	ENSMUSG00000016200.14	protein_coding
chr1	192138040	192138040	ENSMUST00000073279.12	1863	-	ENSMUSG00000037395.15	protein_coding
chr1	192138026	192138026	ENSMUST00000192491.5	1917	-	ENSMUSG00000037395.15	protein_coding
chr1	192138024	192138024	ENSMUST00000193322.1	1926	-	ENSMUSG00000037395.15	processed_transcript
chr1	192138010	192138010	ENSMUST00000110849.9	2013	-	ENSMUSG00000037395.15	protein_coding
chr1	192138010	192138010	ENSMUST00000194395.5	2013	-	ENSMUSG00000037395.15	processed_transcript
chr1	192137927	192137927	ENSMUST00000192128.5	2203	-	ENSMUSG00000037395.15	protein_coding
chr1	192137660	192137660	ENSMUST00000193144.1	774	-	ENSMUSG00000037395.15	protein_coding
chr1	191575544	191575544	ENSMUST00000027933.10	5623	-	ENSMUSG00000037474.13	protein_coding
chr1	191575514	191575514	ENSMUST00000195765.5	5742	-	ENSMUSG00000037474.13	processed_transcript
chr1	191397041	191397041	ENSMUST00000067976.8	2505	-	ENSMUSG00000026626.11	protein_coding
chr1	191318194	191318194	ENSMUST00000046770.9	566	-	ENSMUSG00000037499.9	protein_coding
chr1	191183340	191183340	ENSMUST00000027941.13	8216	-	ENSMUSG00000026628.13	protein_coding
chr1	191183108	191183108	ENSMUST00000131854.1	12289	-	ENSMUSG00000026628.13	processed_transcript
chr1	191062932	191062932	ENSMUST00000110893.9	1695	-	ENSMUSG00000026632.17	protein_coding
chr1	191062905	191062905	ENSMUST00000027945.5	1781	-	ENSMUSG00000026632.17	protein_coding
chr1	191062904	191062904	ENSMUST00000085633.11	1781	-	ENSMUSG00000026632.17	protein_coding
