Gene.ID	Intron_Counts	Intron_Length	Intron_Counts_Norm	Exon_Only_Counts	Exon_Length	Exon_Only_Counts_Norm	ENSUMG	txid	intron_num	Chromosome	Gene.Start	Gene.End	Gene_Length	Strand	FiveSS	ThreeSS	Intron_Size	Uninduced_spliced	Uninduced_unspliced	Induced_spliced	Induced_unspliced	Unind_splice_eff	Induc_splice_eff	Log2_FC.DMSO.splice.eff..Untreated.splice.eff.	LRS_Counts_Unind	LRS_Counts_Induced	Untreated_Int_Count	Untreated_NIC	NIC.0_Yes.1	Intron_within_750nt_TSS_Yes.1	
ENSMUST00000000137.7_intron_2_0_chr11_20077334_r	402	2691	149.386845	72	294	244.8979592	ENSMUSG00000020152	ENSMUST00000000137.7	5	chr11	20112913	20062303	50610	minus	20080023	20077332	2691	10	0	10	0	1	1	0	10	10	0	0	1	0	
ENSMUST00000000137.7_intron_3_0_chr11_20080173_r	93	491	189.4093686	75	285	263.1578947	ENSMUSG00000020152	ENSMUST00000000137.7	4	chr11	20112913	20062303	50610	minus	20080662	20080171	491	14	0	13	0	1	1	0	14	13	1	0.066666667	0	0	
ENSMUST00000000137.7_intron_5_0_chr11_20091368_r	560	2864	195.5307263	32	287	111.4982578	ENSMUSG00000020152	ENSMUST00000000137.7	2	chr11	20112913	20062303	50610	minus	20094230	20091366	2864	14	0	16	0	1	1	0	14	16	2	0.125	0	0	
ENSMUST00000000137.7_intron_6_0_chr11_20094446_r	868	6379	136.0714846	28	325	86.15384615	ENSMUSG00000020152	ENSMUST00000000137.7	1	chr11	20112913	20062303	50610	minus	20100823	20094444	6379	24	0	24	0	1	1	0	24	24	0	0	1	0	
ENSMUST00000000175.5_intron_0_0_chr9_50597251_r	220	1512	145.5026455	258	1037	248.7945998	ENSMUSG00000000171	ENSMUST00000000175.5	2	chr9	50603812	50596356	7456	minus	50598761	50597249	1512	10	2	3	0	0.833333333	NA	NA	12	3	0	0	1	0	
ENSMUST00000000175.5_intron_1_0_chr9_50598906_r	197	1644	119.8296837	48	260	184.6153846	ENSMUSG00000000171	ENSMUST00000000175.5	1	chr9	50603812	50596356	7456	minus	50600548	50598904	1644	16	2	4	1	0.888888889	0.8	-0.152003094	18	5	0	0	1	0	
ENSMUST00000000356.9_intron_1_0_chr15_100617032_f	475	895	530.726257	143	363	393.9393939	ENSMUSG00000000346	ENSMUST00000000356.9	1	chr15	100615348	100620761	5413	plus	100617030	100617925	895	51	0	13	0	1	1	0	51	13	1	0.019230769	0	0	
ENSMUST00000000356.9_intron_2_0_chr15_100618171_f	422	1199	351.9599666	507	1638	309.5238095	ENSMUSG00000000346	ENSMUST00000000356.9	2	chr15	100615348	100620761	5413	plus	100618169	100619368	1199	40	0	6	0	1	1	0	40	6	2	0.047619048	0	0	
ENSMUST00000000430.13_intron_6_0_chr18_24267699_f	126	1751	71.95888064	30	287	104.5296167	ENSMUSG00000000420	ENSMUST00000000430.13	6	chr18	24205343	24286818	81475	plus	24267697	24269448	1751	10	1	8	0	0.909090909	1	0.137503524	11	8	0	0	1	0	
ENSMUST00000000466.12_intron_0_0_chr4_86657405_r	310	1178	263.1578947	206	973	211.7163412	ENSMUSG00000028494	ENSMUST00000000466.12	6	chr4	86670060	86656564	13496	minus	86658581	86657403	1178	12	0	2	0	1	NA	NA	12	2	1	0.076923077	0	0	
ENSMUST00000000466.12_intron_1_0_chr4_86658716_r	265	1374	192.86754	104	315	330.1587302	ENSMUSG00000028494	ENSMUST00000000466.12	5	chr4	86670060	86656564	13496	minus	86660088	86658714	1374	15	0	2	0	1	NA	NA	15	2	0	0	1	0	
ENSMUST00000000466.12_intron_2_0_chr4_86660270_r	301	1666	180.6722689	153	460	332.6086957	ENSMUSG00000028494	ENSMUST00000000466.12	4	chr4	86670060	86656564	13496	minus	86661934	86660268	1666	15	0	2	0	1	NA	NA	15	2	1	0.0625	0	0	
ENSMUST00000000466.12_intron_3_0_chr4_86662214_r	425	2217	191.7004962	131	361	362.8808864	ENSMUSG00000028494	ENSMUST00000000466.12	3	chr4	86670060	86656564	13496	minus	86664429	86662212	2217	20	0	4	0	1	NA	NA	20	4	2	0.090909091	0	0	
ENSMUST00000000466.12_intron_4_0_chr4_86664512_r	780	3857	202.2297122	105	277	379.0613718	ENSMUSG00000028494	ENSMUST00000000466.12	2	chr4	86670060	86656564	13496	minus	86668367	86664510	3857	23	1	6	0	0.958333333	1	0.061400545	24	6	4	0.148148148	0	0	
ENSMUST00000000466.12_intron_5_0_chr4_86668563_r	25	89	280.8988764	85	250	340	ENSMUSG00000028494	ENSMUST00000000466.12	1	chr4	86670060	86656564	13496	minus	86668650	86668561	89	31	4	6	2	0.885714286	0.75	-0.239950793	35	8	0	0	1	0	
ENSMUST00000000505.15_intron_0_0_chr5_138164921_r	54	133	406.0150376	229	446	513.4529148	ENSMUSG00000029730	ENSMUST00000000505.15	13	chr5	138172422	138164582	7840	minus	138165052	138164919	133	4	16	3	0	0.2	NA	NA	20	3	2	0.333333333	0	0	
ENSMUST00000000505.15_intron_1_0_chr5_138165162_r	416	750	554.6666667	174	277	628.1588448	ENSMUSG00000029730	ENSMUST00000000505.15	12	chr5	138172422	138164582	7840	minus	138165910	138165160	750	3	14	3	0	0.176470588	NA	NA	17	3	1	0.25	0	0	
ENSMUST00000000505.15_intron_10_0_chr5_138169279_r	15	72	208.3333333	118	304	388.1578947	ENSMUSG00000029730	ENSMUST00000000505.15	3	chr5	138172422	138164582	7840	minus	138169349	138169277	72	25	14	21	4	0.641025641	0.84	0.390007262	39	25	3	0.107142857	0	0	
ENSMUST00000000505.15_intron_11_0_chr5_138169474_r	34	88	386.3636364	95	288	329.8611111	ENSMUSG00000029730	ENSMUST00000000505.15	2	chr5	138172422	138164582	7840	minus	138169560	138169472	88	21	28	19	8	0.428571429	0.703703704	0.715432431	49	27	3	0.125	0	0	
ENSMUST00000000505.15_intron_12_0_chr5_138169725_r	289	594	486.5319865	85	243	349.7942387	ENSMUSG00000029730	ENSMUST00000000505.15	1	chr5	138172422	138164582	7840	minus	138170317	138169723	594	31	12	22	2	0.720930233	0.916666667	0.346537561	43	24	0	0	1	0	
ENSMUST00000000505.15_intron_2_0_chr5_138166079_r	367	606	605.6105611	157	251	625.498008	ENSMUSG00000029730	ENSMUST00000000505.15	11	chr5	138172422	138164582	7840	minus	138166683	138166077	606	7	38	7	15	0.155555556	0.318181818	1.032421474	45	22	3	0.3	0	0	
ENSMUST00000000505.15_intron_3_0_chr5_138166767_r	186	281	661.9217082	183	476	384.4537815	ENSMUSG00000029730	ENSMUST00000000505.15	10	chr5	138172422	138164582	7840	minus	138167046	138166765	281	18	16	14	2	0.529411765	0.875	0.724892761	34	16	3	0.142857143	0	0	
ENSMUST00000000505.15_intron_4_0_chr5_138167440_r	32	113	283.1858407	183	476	384.4537815	ENSMUSG00000029730	ENSMUST00000000505.15	9	chr5	138172422	138164582	7840	minus	138167551	138167438	113	27	12	20	2	0.692307692	0.909090909	0.393011194	39	22	0	0	1	0	
ENSMUST00000000505.15_intron_5_0_chr5_138167635_r	76	208	365.3846154	89	214	415.8878505	ENSMUSG00000029730	ENSMUST00000000505.15	8	chr5	138172422	138164582	7840	minus	138167841	138167633	208	28	9	19	6	0.756756757	0.76	0.006169767	37	25	0	0	1	0	
ENSMUST00000000505.15_intron_6_0_chr5_138167973_r	38	87	436.7816092	114	245	465.3061224	ENSMUSG00000029730	ENSMUST00000000505.15	7	chr5	138172422	138164582	7840	minus	138168058	138167971	87	26	12	20	6	0.684210526	0.769230769	0.168976173	38	26	0	0	1	0	
ENSMUST00000000505.15_intron_7_0_chr5_138168173_r	38	162	234.5679012	96	263	365.0190114	ENSMUSG00000029730	ENSMUST00000000505.15	6	chr5	138172422	138164582	7840	minus	138168333	138168171	162	19	20	19	9	0.487179487	0.678571429	0.478047297	39	28	1	0.05	0	0	
ENSMUST00000000505.15_intron_8_0_chr5_138168483_r	142	329	431.6109422	66	286	230.7692308	ENSMUSG00000029730	ENSMUST00000000505.15	5	chr5	138172422	138164582	7840	minus	138168810	138168481	329	17	22	18	10	0.435897436	0.642857143	0.560509457	39	28	3	0.15	0	0	
ENSMUST00000000505.15_intron_9_0_chr5_138168948_r	59	152	388.1578947	85	317	268.1388013	ENSMUSG00000029730	ENSMUST00000000505.15	4	chr5	138172422	138164582	7840	minus	138169098	138168946	152	26	10	22	3	0.722222222	0.88	0.285060713	36	25	1	0.037037037	0	0	
ENSMUST00000000727.3_intron_2_0_chr10_128682947_r	58	250	232	49	273	179.4871795	ENSMUSG00000000711	ENSMUST00000000727.3	2	chr10	128696264	128677174	19090	minus	128683195	128682945	250	9	2	5	0	0.818181818	1	0.289506618	11	5	0	0	1	0	
ENSMUST00000000756.5_intron_3_0_chr8_123103357_f	2165	543	3987.108656	328	229	1432.31441	ENSMUSG00000000740	ENSMUST00000000756.5	3	chr8	123102349	123105244	2895	plus	123103355	123103898	543	45	2	15	1	0.957446809	0.9375	-0.03037365	47	16	0	0	1	0	
ENSMUST00000000756.5_intron_4_0_chr8_123103955_f	2673	1091	2450.04583	539	256	2105.46875	ENSMUSG00000000740	ENSMUST00000000756.5	4	chr8	123102349	123105244	2895	plus	123103953	123105044	1091	45	8	14	3	0.849056604	0.823529412	-0.044040561	53	17	0	0	1	0	
ENSMUST00000000759.8_intron_2_0_chr8_123207602_r	56	364	153.8461538	53	274	193.4306569	ENSMUSG00000000743	ENSMUST00000000759.8	3	chr8	123212760	123204263	8497	minus	123207964	123207600	364	12	2	9	0	0.857142857	1	0.222392422	14	9	0	0	1	0	
ENSMUST00000000759.8_intron_3_0_chr8_123208111_r	112	912	122.8070175	40	223	179.3721973	ENSMUSG00000000743	ENSMUST00000000759.8	2	chr8	123212760	123204263	8497	minus	123209021	123208109	912	14	1	9	0	0.933333333	1	0.099535674	15	9	0	0	1	0	
ENSMUST00000000804.6_intron_1_0_chrX_13284236_f	192	681	281.938326	80	104	769.2307692	ENSMUSG00000000787	ENSMUST00000000804.6	1	chrX	13280969	13294052	13083	plus	13284234	13284915	681	4	11	4	3	0.266666667	0.571428571	1.099535672	15	7	0	0	1	0	
ENSMUST00000000804.6_intron_10_0_chrX_13289540_f	108	299	361.2040134	288	288	1000	ENSMUSG00000000787	ENSMUST00000000804.6	10	chrX	13280969	13294052	13083	plus	13289538	13289837	299	9	26	0	9	0.257142857	0	#NUM!	35	9	3	0.25	0	0	
ENSMUST00000000804.6_intron_11_0_chrX_13289982_f	46	199	231.1557789	453	325	1393.846154	ENSMUSG00000000787	ENSMUST00000000804.6	11	chrX	13280969	13294052	13083	plus	13289980	13290179	199	6	21	2	6	0.222222222	0.25	0.169925003	27	8	5	0.454545455	0	0	
